name,expenditures,contributions,count
ANTHONY ALANN JOHNSON,7900,8200,15
PAMELA BLACKMORE-JENKINS,7490,8190,9
LESA GRIFFITH KEITH,8163,8170,63
ALAN BRYANT GRABEN,7679,8083,21
BENJAMIN ALLEN TREADAWAY,5411,8000,12
JOHN ANTHONY SAVAGE,6268,7972,10
JOEL LEE WILLIAMS,4717,7926,25
JIM GREEN SR.,6334,7728,11
SUZANNE CHILDERS,6571,7643,25
PHILLIP ROSS MCGLAUGHN,7608,7595,36
MARTHA BARBER HUMPHREY,7113,7557,12
TERRY DUANE MCGEE,6206,7526,26
TANYA TOLBERT ROBERTS,7509,7521,12
STACY LEE GEORGE,4052,7352,32
DAVID BERT YOUNG JR.,5680,7350,15
CHARLES RANDAL BROCK,9393,7300,14
JOE E BASENBERG,0,7223,26
JOHN BAHAKEL,1931,7040,15
THOMAS E ACTION JACKSON,15970,7000,8
DONALD EDWARD BARNWELL,7344,6850,7
WILSON EDWARD ROWELL,4716,6812,29
MIRANDA SCHRUBBE,5990,6754,22
KENNETH LYNN BAILEY,6218,6533,25
JAMES MACDONALD RUSSELL JR.,5254,6530,37
MIRANDA KARRINE JOSEPH,5063,6483,56
JANE SMITH,3260,6450,30
WILLIE A CASEY,945,6425,8
"JAMES ""JAMEY"" HOWARD CLEMENTS JR.",6927,6349,13
VJ VIVIAN FORD,1715,6255,47
JEREMY HEATH JACKSON,3403,6200,11
SHIRLEY A SCOTT-HARRIS,2357,6165,42
JAMES (RON) WILSON III,21505,6110,5
WILLIAM DAVIS LAWLEY JR.,4092,6000,2
WESLEY JARON HODGES,5809,5933,40
THEODORE A COPLAND II,3700,5918,13
GINGER POYNTER,1099,5773,20
LATUNJA ADAMS CASTER,3783,5753,22
PHIL WILLIAMS,4041,5650,8
RON STEVEN CRUMPTON,4743,5623,37
DAVID ALAN COPELAND,5569,5571,15
GERALD C WALLACE,5992,5549,20
ROY D. JACKSON,7793,5350,19
JERRY ALAN MCGILVRAY,3657,5237,20
RAY BRYAN,5586,5200,10
ROBERT W. GREEN,5048,5150,38
FRANKLIN W CHANDLER JR.,5093,5116,6
TILLMAN PUGH,2617,5024,8
GREG SHAW,11973,5000,2
THOMAS GENE FARMER,4325,5000,1
FRED JOLY,7198,5000,1
J.R. GAINES,17053,4950,29
JAMES THOMAS HANES JR.,2947,4929,15
WILLIAM MCCALL HARRIS JR.,3976,4878,10
STERLING JOSH STATOM SR.,4745,4746,11
ELLENE SCHELL BROWN,5241,4550,8
GUY KELLY,4496,4496,9
ANTHONY AVON CLARKBANKS,4386,4406,73
JARED FREEMAN,7456,4306,12
MARY ANN DEES,4295,4301,17
JIMMIE L BENISON SR.,4175,4178,7
APRIL LANCASTER LOGAN-RUSSELL,3183,4132,5
HANDLEY JEFF HARDY,3912,4075,10
HENRY ALLRED,7456,4000,6
THOMAS SLOAN,3682,3915,4
WILLIAM SCOTT DONALDSON,12141,3850,3
ROBERT KEVIN BASS,3259,3842,6
JIMMY LEON BELL,4360,3821,7
JOHN E. AMARI,2090,3800,6
BRYAN MCDANIEL TAYLOR,3983,3750,4
WILLIAM HENRY STRICKLEND III,2020,3750,10
JOE COTTLE,3704,3704,2
DENISE HUMBURG,3936,3700,3
MORRIS DAVID CUMMINGS JR.,2249,3652,8
JIM GRIGGS,3484,3486,5
JOHN RALPH SAUNDERS,3395,3450,7
JAMES BERRY SHANNON JR.,3194,3350,6
MICHAEL JASON GLADDEN,23096,3345,11
LATEEFAH MUHAMMAD,3467,3318,38
